in,out,common,translate
notem_hb_productions_pure,notem_hb_productions_pure_report,p;tfn_tt,tfn_at:tfn_agg_at;
notem_hb_productions_full_tfnat,notem_hb_productions_full,p;tfn_tt;m;tp,
notem_hb_attractions_trip_weights,notem_hb_attractions_pure,p;soc,
notem_hb_output,notem_hb_output_no_tp,p;m;g;soc;ns;ca,
notem_hb_tfnat_p_m_g_soc_ns_ca_nhbp_nhbm,notem_nhb_productions_pure,tfn_at;nhb_p;nhb_m;g;soc;ns;ca,
notem_nhb_productions_pure,notem_nhb_productions_pure_report,nhb_p;nhb_m;g;soc;ns;ca,tfn_at:tfn_agg_at;
notem_nhb_productions_full_tfnat,notem_nhb_productions_full,nhb_p;nhb_m;g;soc;ns;ca;tp,
notem_nhb_productions_full,notem_nhb_output,p;m;g;soc;ns;ca;tp,nhb_p:p;nhb_m:m;
,,,
notem_hb_output_wday,hb_p_m_tp_wday,p;m;tp,
notem_hb_output_wday,hb_p_m_ca_tp_wday,p;m;tp;ca,
notem_hb_output,hb_p_m,p;m,
notem_nhb_output,nhb_p_m,p;m,
notem_hb_output,hb_p_m_tp_week,p;m;tp,
notem_nhb_output,nhb_p_m_tp_week,p;m;tp,
notem_nhb_output_wday,nhb_p_m,p;m,
notem_hb_output,hb_p_tp_week,p;tp,
notem_nhb_output_wday,nhb_p_m_ca,p;m;ca,
notem_hb_output,hb_p_m_ca,p;m;ca,
notem_nhb_output,nhb_p_m_ca,p;m;ca,
notem_hb_output,hb_p_ca_tp_week,p;ca;tp,
notem_hb_output,m_tp_week,m;tp,
notem_nhb_output,nhb_p_tp_week,p;tp,
notem_nhb_output,m_tp_week,m;tp,
,,,
TRAM AGGREGATIONS,,,
tram_hb_output,hb_p_m7_ca,p;m;ca,
tram_hb_output,hb_p_m7_tp_week,p;m;tp,
tram_nhb_output,nhb_p_m7_tp_week,p;m;tp,
,,,
TMS AGGREGATIONS,,,
tram_hb_output_wday,hb_p_m7,p;m,
tram_hb_output_wday,hb_p_m7_ca,p;m;ca,
tram_nhb_output_reduced_wday,tms_nhb_p_m7_tp_wday,p;m;tp,
tram_nhb_output_reduced_wday,tms_nhb_p_m7_ca_tp_wday,p;m;tp;ca,
notem_hb_output_wday,hb_p_m,p;m,
notem_hb_output_wday,hb_p_m_ca,p;m;ca,
notem_nhb_output_reduced_wday,tms_nhb_p_m_tp_wday,p;m;tp,
notem_nhb_output_reduced_wday,tms_nhb_p_m_ca_tp_wday,p;m;tp;ca,
,,,
hb_p_m_tp_wday,hb_p_m,p;m,
hb_p_m_tp_week,hb_p_m,p;m,
tms_nhb_p_m_tp_wday,nhb_p_m,p;m,
,,,
hb_p_m_sic,hb_p_m,p;m,
