a,b,join,out
notem_hb_productions_pure,notem_lu_pop,tfn_tt;tfn_at,notem_hb_productions_pure
notem_hb_productions_pure,notem_hb_productions_full_tfnat,tfn_tt;tfn_at;p,notem_hb_productions_full_tfnat
notem_hb_attractions_trip_weights,notem_lu_emp,e_cat;soc,notem_hb_attractions_trip_weights
notem_hb_attractions_pure,hb_p_m,p,notem_hb_attractions_full
notem_hb_tfnat_p_m_g_soc_ns_ca,notem_nhb_trip_rate,p;m,notem_hb_tfnat_p_m_g_soc_ns_ca_nhbp_nhbm
notem_nhb_productions_pure,notem_nhb_tfnat_p_m_tp,nhb_p;nhb_m;tfn_at,notem_nhb_productions_full_tfnat
hb_p_m_tp_wday,hb_p_m_tp_wday,p;m;tp,hb_p_m_tp_wday
tms_nhb_p_m_tp_wday,tms_nhb_p_m_tp_wday,p;m;tp,tms_nhb_p_m_tp_wday
hb_p_m_car,hb_p_m_car,p;m,hb_p_m_car
nhb_p_m_car,nhb_p_m_car,p;m,nhb_p_m_car
hb_p_m_sic,sic,sic,hb_p_m_sic
