in,out,drop
notem_hb_output,notem_hb_output_wday,tp:5;tp:6
notem_nhb_output,notem_nhb_output_wday,tp:5;tp:6
tram_hb_output,tram_hb_output_wday,tp:5;tp:6
tram_nhb_output,tram_nhb_output_wday,tp:5;tp:6
hb_p_tp_week,hb_p_tp_wday,tp:5;tp:6
notem_nhb_output_reduced,notem_nhb_output_reduced_wday,tp:5;tp:6
tram_nhb_output_reduced,tram_nhb_output_reduced_wday,tp:5;tp:6
,,
TMS SUBSETS,,
hb_p_m,hb_p_m_car,m:1;m:2;m:5;m:6
hb_p_m,hb_p_m_bus,m:1;m:2;m:3;m:6
hb_p_m,hb_p_m_walk,m:2;m:3;m:5;m:6
hb_p_m,hb_p_m_cycle,m:1;m:3;m:5;m:6
hb_p_m_ca,hb_p_m_ca_rail,m:1;m:2;m:3;m:5
hb_p_ca_tp_week,hb_p_ca_tp_wday,tp:5;tp:6
tms_nhb_p_m_tp_wday,tms_nhb_p_m_tp_wday_car,m:1;m:2;m:5;m:6
tms_nhb_p_m_tp_wday,tms_nhb_p_m_tp_wday_bus,m:1;m:2;m:3;m:6
tms_nhb_p_m_tp_wday,tms_nhb_p_m_tp_wday_walk,m:2;m:3;m:5;m:6
tms_nhb_p_m_tp_wday,tms_nhb_p_m_tp_wday_cycle,m:1;m:3;m:5;m:6
tms_nhb_p_m_ca_tp_wday,tms_nhb_p_m_ca_tp_wday_rail,m:1;m:2;m:3;m:5
,,
hb_p_m7,hb_p_m_car,m:1;m:2;m:5;m:6;m:7
hb_p_m7,hb_p_m_bus,m:1;m:2;m:3;m:6;m:7
hb_p_m7,hb_p_m_walk,m:2;m:3;m:5;m:6;m:7
hb_p_m7,hb_p_m_cycle,m:1;m:3;m:5;m:6;m:7
hb_p_m7,hb_p_m_tram,m:1;m:2;m:3;m:5;m:6
hb_p_m7_ca,hb_p_m_ca_rail,m:1;m:2;m:3;m:5;m:7
,,
tms_nhb_p_m7_tp_wday,tms_nhb_p_m_tp_wday_car,m:1;m:2;m:5;m:6;m:7
tms_nhb_p_m7_tp_wday,tms_nhb_p_m_tp_wday_bus,m:1;m:2;m:3;m:6;m:7
tms_nhb_p_m7_tp_wday,tms_nhb_p_m_tp_wday_walk,m:2;m:3;m:5;m:6;m:7
tms_nhb_p_m7_tp_wday,tms_nhb_p_m_tp_wday_cycle,m:1;m:3;m:5;m:6;m:7
tms_nhb_p_m7_tp_wday,tms_nhb_p_m_tp_wday_tram,m:1;m:2;m:3;m:5;m:6
tms_nhb_p_m7_ca_tp_wday,tms_nhb_p_m_ca_tp_wday_rail,m:1;m:2;m:3;m:5;m:7
,,
nhb_p_m,nhb_p_m_car,m:1;m:2;m:5;m:6
